,Time,Ticker,Asset Turnover,Average Assets,Book Value per Share,Current Ratio,Debt to Equity Ratio,Dividend Yield,EBITDA,EBITDA [USD],EBITDA Margin,Earnings before Tax,Average Equity,Enterprise Value,Enterprise Value over EBIT,Enterprise Value over EBITDA,Free Cash Flow,Free Cash Flow per Share,Foreign Currency to USD Exchange Rate,Gross Margin,Invested Capital,Invested Capital Average,Market Capitalization,Profit Margin,Price to Earnings (Damodaran Method),Price to Earnings Ratio,Price to Sales Ratio,Price to Sales (Damodaran Method),Price to Book Value,Return on Invested Capital,Sales per Share,Payout Ratio,Return on Average Assets,Return on Average Equity,Return on Sales,Tangible Asset Value,Tangible Asset Book Value per Share,Working Capital
57,2018-06-30,GOOGL,0.615,201344000000.0,233.245,4.152,0.306,0.0,38642000000.0,38642000000.0,0.312,30755000000.0,158106750000.0,776921517692.0,25.0,20.105999999999998,21239000000.0,30.58,1.0,0.574,150983000000.0,148509000000.0,784277517692.0,0.132,48.092,48.133,6.33,6.33,4.841,0.207,178.386,0.0,0.081,0.10300000000000001,0.248,191053000000.0,275.075,94254000000.0
127,2018-06-30,MA,0.637,21914500000.0,5.04,1.5130000000000001,3.2569999999999997,0.005,7777000000.0,7777000000.0,0.557,7141000000.0,5717500000.0,203775188191.0,28.0,26.201999999999998,5630000000.0,5.398,1.0,1.0,7655000000.0,7601500000.0,205161188191.0,0.33799999999999997,43.485,43.86600000000001,14.687999999999999,14.702,39.025999999999996,0.961,13.38,0.21,0.215,0.825,0.524,18454000000.0,17.692999999999998,4850000000.0
157,2018-06-30,PG,0.5429999999999999,123043500000.0,21.03,0.826,1.237,0.036000000000000004,16555000000.0,16555000000.0,0.248,13215000000.0,54491250000.0,226262635097.0,16.0,13.667,11150000000.0,4.434,1.0,0.485,49713000000.0,52224000000.0,196289635097.0,0.146,20.132,20.816,2.937,2.937,3.7119999999999997,0.263,26.578000000000003,0.743,0.079,0.179,0.205,49233000000.0,19.579,-4917000000.0
107,2018-06-30,JPM,0.040999999999999995,2574127250000.0,75.38600000000001,,9.06,0.021,44148000000.0,44148000000.0,0.418,37213000000.0,256933500000.0,456172755272.0,12.0,10.333,8235000000.0,2.411,1.0,1.0,2642660000000.0,2602776000000.0,354777755272.0,0.248,13.561,13.800999999999998,3.367,3.3569999999999998,1.3780000000000001,0.013999999999999999,30.948,0.289,0.01,0.102,0.35200000000000004,2535515000000.0,742.421,
7,2018-06-30,AAPL,0.6809999999999999,374703000000.0,23.545,1.307,2.0380000000000003,0.013999999999999999,81032000000.0,81032000000.0,0.317,70399000000.0,129018250000.0,986622195180.0,14.0,12.175999999999998,59523000000.0,12.192,1.0,0.38299999999999995,343278000000.0,361503500000.0,909841195180.0,0.22,16.212,16.647000000000002,3.54,3.5639999999999996,7.915,0.195,52.287,0.23600000000000002,0.15,0.435,0.276,349197000000.0,71.525,27213000000.0
87,2018-06-30,INTC,0.525,126226250000.0,15.067,1.571,0.7979999999999999,0.023,31329000000.0,31329000000.0,0.473,22505000000.0,70041750000.0,256706600000.0,11.0,8.193999999999999,12714000000.0,2.735,1.0,0.619,97480000000.0,94515750000.0,231648600000.0,0.201,17.432000000000002,17.504,3.489,3.498,3.307,0.24100000000000002,14.245999999999999,0.40299999999999997,0.105,0.19,0.344,89523000000.0,19.256,10032000000.0
17,2018-06-30,AMZN,1.642,126759750000.0,72.006,1.072,2.832,0.0,21659000000.0,21659000000.0,0.10400000000000001,6709000000.0,29706250000.0,832752691419.0,105.0,38.448,10422000000.0,21.444000000000003,1.0,0.38799999999999996,74170000000.0,69557000000.0,824788691419.0,0.03,131.41899999999998,131.157,3.969,3.963,23.569000000000003,0.114,428.241,0.0,0.05,0.21100000000000002,0.038,120156000000.0,247.235,3680000000.0
137,2018-06-30,MSFT,0.43700000000000006,252361250000.0,10.743,2.9010000000000002,2.129,0.017,46735000000.0,46735000000.0,0.423,36474000000.0,82491000000.0,708278105771.0,19.0,15.155,32252000000.0,4.189,1.0,0.652,104664000000.0,105360500000.0,757640105771.0,0.15,45.721000000000004,45.865,6.88,6.865,9.158999999999999,0.34600000000000003,14.332,0.767,0.066,0.201,0.331,215112000000.0,27.936999999999998,111174000000.0
167,2018-06-30,T,0.33899999999999997,467249000000.0,28.811,0.8059999999999999,1.916,0.062,48097000000.0,48097000000.0,0.304,16206000000.0,148680250000.0,311361510000.0,13.0,6.474,18660000000.0,2.938,1.0,0.517,348093000000.0,291402250000.0,197187510000.0,0.201,6.189,6.2589999999999995,1.288,1.245,1.078,0.081,24.936,0.386,0.068,0.214,0.149,240042000000.0,37.796,-13307000000.0
197,2018-06-30,XOM,0.772,348933500000.0,44.22,0.81,0.8290000000000001,0.038,42468000000.0,42468000000.0,0.158,22039000000.0,186345250000.0,386757122973.0,17.0,9.107000000000001,13555000000.0,3.202,1.0,0.341,324133000000.0,327804500000.0,350265122973.0,0.078,16.719,16.849,1.301,1.301,1.871,0.069,63.613,0.637,0.06,0.11199999999999999,0.084,348790000000.0,82.382,-11892000000.0
